cell_id,EOL,initial_capacity
el150800440551,435,1.0454259
el150800737229,551,1.0620247999999999
el150800737366,689,1.0678786
el150800737234,472,1.0512739
el150800737329,959,1.0665728
el150800737233,789,1.0636606000000002
el150800737315,772,1.063777
el150800737368,795,1.0451530999999998
el150800737304,1219,1.0594152000000001
el150800737334,1794,1.0691597
el150800737367,988,1.0691667999999999
EL150800460525,689,1.0739927
EL150800460622,649,1.0681152
EL150800460514,589,1.0219246
EL150800460486,925,1.0245415999999998
EL150800460623,1000,1.0295508
el150800460480,448,1.0610169
el150800737313,996,1.0642239
el150800737270,981,1.0683683000000002
el150800737378,1209,1.0653081
el150800737259,943,1.0600798999999999
EL150800737380,888,1.0674757
el150800737350,1072,1.0602307
el150800737361,1117,1.0464231
el150800737369,899,1.0686373
el150800737386,819,1.0677625
el150800737320,804,1.0652004
EL150800460485,547,1.0817878
EL150800460656,538,1.0810224
el150800460597,462,1.0639789
el150800460611,430,1.0640886999999999
el150800460596,432,1.0733846000000002
el150800460498,428,1.0691837
el150800460604,466,1.0699197
el150800737280,1046,1.0622736000000002
el150800737213,790,1.0500578999999999
el150800737314,876,1.0731678
el150800737387,807,1.0716274
el150800737275,1055,1.0706265
el150800737251,802,1.0592589
el150800737365,891,1.0573761000000002
el150800739495,746,1.0491925
EL150800463980,905,1.0729031999999998
EL150800463882,740,1.0507991
EL150800460653,795,1.0785451000000001
EL150800460522,793,1.0697117
el150800737294,1165,1.0600003999999998
el150800739476,968,1.0717411000000001
el150800737276,764,1.0673251
el150800737319,766,1.0642038999999999
el150800737274,1052,1.0674671999999998
el150800737287,951,1.0709693
el150800739477,1009,1.0626153
el150800737390,751,1.0581568000000001
el150800460478,459,1.0648883999999998
el150800737307,1701,1.0664694
el150800737277,1007,1.0608749
el150800737345,1512,1.0605524
el150800737299,2188,1.0650446000000002
el150800737297,2237,1.07156
el150800737364,1330,1.0489386
el150800737377,1521,1.0657128
el150800739484,1659,1.0688018
EL150800464881,705,1.0825964
EL150800460640,665,1.0751325
EL150800460436,680,1.0895553
el150800460501,482,1.0713947
el150800460510,406,1.0676208
el150800460614,437,1.0623763000000002
EL150800460506,642,1.0750237
EL150800460601,596,1.0719458
el150800460474,429,1.0664768999999998
EL150800464883,909,1.0736028999999998
EL150800464977,209,0.97206396
EL150800464865,463,1.0074891
el150800460527,451,1.0634685
EL150800464898,878,1.0874287
EL150800460468,973,1.0815607
EL150800463886,596,1.0729731000000002
EL150800465027,787,1.0909803999999999
el150800460449,451,1.0742625
el150800460518,245,1.0680572
el150800463245,247,1.0757267
el150800460635,448,1.0641999
el150800460466,250,1.0680432
el150800460673,250,1.0638535
el150800460599,680,1.0383378
EL150800460472,864,1.0753926999999999
EL150800460658,869,1.0773282
el150800460655,247,1.0692153
EL150800460507,777,1.0750393999999999
EL150800460644,833,1.076773
el150800460608,458,1.0695118000000001
el150800460605,117,1.06918
el150800460628,435,1.0651143
el150800460451,251,1.0651031000000002
EL150800464002,467,1.0702003
EL150800463871,511,1.0800718999999999
EL150800460514,1189,1.0691586000000002
EL150800460486,1178,1.0725228999999998
EL150800460623,1176,1.0773673000000001
EL150800460433,890,1.0764788
EL150800460477,935,1.0765325000000001
el150800460603,451,1.0718927
EL150800463229,877,1.0803633999999998
EL150800460647,963,1.0760245000000002
el150800460528,496,1.0753652
el150800737285,970,1.0551282
el150800737279,692,1.0674968
EL150800463838,807,1.0682120000000002
EL150800453113,673,1.0585988000000002
el150800460526,458,1.0735563
el150800460513,403,1.0648383999999997
el150800460634,431,1.0651802
el150800460652,458,1.0786781
el150800460602,408,1.0708591
EL150800460615,655,1.077118
EL150800460481,795,1.0917602
EL150800460618,631,1.0771072
EL150800460636,599,1.0662935
el150800460631,484,1.0712117
el150800463208,434,1.0760969999999999
el150800460473,429,1.074605
el150800460678,406,1.0683196000000001
EL150800464977,1226,1.0769014
EL150800464865,1226,1.0760566999999999
el150800460649,439,1.0661006000000002
EL150800460659,793,1.0846132
EL150800463198,779,1.0762453
EL150800460630,936,1.0722208999999998
EL150800460617,779,1.0728924
EL150800453773,569,1.0702026000000002
EL150800460642,569,1.0789777
el150800460511,447,1.0712371
el150800460610,475,1.0682162
el150800460613,455,1.0661633
el150800460627,430,1.0743777
el150800460641,483,1.0758885
el150800460492,469,1.0649502
